player,team,shots,goals,xg_loc,xg_def,sb_xg,context,cone,margin_loc,margin_def,swing
Diana Ordoñez,Houston Dash,32,2,3.3647597275353545,3.5544839614170503,2.99582,0.18972423388169601,0.4375,-1.3647597275353545,-1.5544839614170503,-0.1897242338816958
Débora Cristiane de Oliveira,KC Current,37,7,3.4567655579913232,3.424385366549302,4.95088,-0.032380191442021485,0.9459459459459459,3.5432344420086768,3.575614633450698,0.0323801914420212
Ebony Salmon,Houston Dash,40,1,2.9908887433034037,3.7474324661881644,3.6947900000000002,0.7565437228847604,0.3,-1.9908887433034037,-2.7474324661881644,-0.7565437228847607
Elyse Bennett,Seattle Reign,25,2,2.3341149422069534,3.1887691693664615,2.59261,0.854654227159508,0.44,-0.33411494220695337,-1.1887691693664615,-0.8546542271595081
Hina Sugita,Portland Thorns,26,5,3.6184208936685143,3.8094110485289985,4.5643,0.19099015486048437,0.6923076923076923,1.3815791063314857,1.1905889514710015,-0.1909901548604842
Jaedyn Reese Shaw,San Diego Wave,45,6,3.850263705867498,4.217255714786177,5.17219,0.36699200891867895,0.9111111111111111,2.149736294132502,1.7827442852138233,-0.36699200891867845
Jenna Nighswonger,NJ/NY Gotham FC,38,2,2.340754936452915,2.0132078875034303,2.5693200000000003,-0.32754704894948417,1.1842105263157894,-0.3407549364529152,-0.013207887503430271,0.32754704894948494
Jessica Fishlock,Seattle Reign,43,4,2.768682113599816,2.954933740625835,3.22418,0.18625162702601988,0.9069767441860465,1.2313178864001841,1.045066259374165,-0.18625162702601905
Joelle Anderson,Houston Dash,26,1,1.9536383710914726,1.8201637377648145,2.52402,-0.1334746333266576,1.2307692307692308,-0.9536383710914726,-0.8201637377648145,0.1334746333266581
Jordyn Pamela Huitema,Seattle Reign,38,5,3.7649567373312403,4.098510475752304,4.3264000000000005,0.3335537384210645,0.7894736842105263,1.2350432626687597,0.9014895242476957,-0.33355373842106406
Kerolin Nicoli Israel Ferraz,North Carolina Courage,58,8,4.746081809671161,4.171308587702455,5.12308,-0.5747732219687035,1.0172413793103448,3.2539181903288394,3.8286914122975446,0.5747732219687052
Kerry Abello,Orlando Pride,28,1,1.7133512297177764,1.4574002260887988,1.78882,-0.2559510036289767,0.5,-0.7133512297177764,-0.4574002260887988,0.2559510036289776
Kirsten Davis,Racing Louisville FC,38,4,3.6257643954189223,4.184617783578563,4.67224,0.5588533881596408,0.42105263157894735,0.37423560458107774,-0.18461778357856318,-0.5588533881596409
Lynn Williams Biyendolo,NJ/NY Gotham FC,86,7,6.89002548185467,7.342551947954762,7.98824,0.4525264661000934,0.6627906976744186,0.10997451814533044,-0.34255194795476207,-0.4525264661000925
Makenzy Doniak,San Diego Wave,33,3,2.4165319484695007,2.4028694191580158,2.45072,-0.013662529311484007,0.45454545454545453,0.5834680515304993,0.5971305808419842,0.013662529311484928
Margaret Purce,NJ/NY Gotham FC,33,2,3.067219775291515,3.0642288156355875,3.39016,-0.0029909596559268906,0.6666666666666666,-1.0672197752915151,-1.0642288156355875,0.0029909596559276608
Maria Guadalupe Sanchez Morales,Houston Dash,32,4,2.1970905270424765,2.0103143380210073,2.63864,-0.1867761890214685,0.75,1.8029094729575235,1.9896856619789927,0.1867761890214692
Marta Vieira da Silva Veiga,Orlando Pride,29,0,2.318913326235003,2.0880786782800196,2.35871,-0.2308346479549821,1.0,-2.318913326235003,-2.0880786782800196,0.2308346479549832
Mary Alice Vignola,Angel City,26,3,1.794756944866483,1.4516943493829724,1.38161,-0.3430625954835102,0.7692307692307693,1.205243055133517,1.5483056506170276,0.3430625954835107
Megan Anna Rapinoe,Seattle Reign,42,3,1.974979649818347,2.0081096316622755,2.23039,0.03312998184392871,0.9047619047619048,1.025020350181653,0.9918903683377245,-0.03312998184392857
Messiah Bright,Orlando Pride,43,6,4.035516904283298,4.270067813767438,4.79844,0.23455090948414115,0.627906976744186,1.9644830957167017,1.7299321862325616,-0.23455090948414004
Michelle Alozie,Houston Dash,32,4,2.7121581864164557,4.017536028791862,3.16017,1.3053778423754068,0.46875,1.2878418135835443,-0.017536028791862,-1.3053778423754063
Michelle Ivory Cooper,KC Current,35,1,3.280768644178945,3.669783510580223,4.0591,0.3890148664012784,0.37142857142857144,-2.280768644178945,-2.669783510580223,-0.3890148664012778
Morgan Weaver,Portland Thorns,75,7,6.016306953419845,7.033336901076771,7.56044,1.0170299476569267,0.6,0.9836930465801554,-0.033336901076770786,-1.0170299476569262
Olivia Moultrie,Portland Thorns,40,2,2.622783975310983,2.597268883221931,3.0961,-0.025515092089050992,1.0,-0.6227839753109832,-0.5972688832219308,0.025515092089052338
Penelope Hocking,Chicago Red Stars,34,3,2.6212745328476807,2.6145865923816207,3.2388,-0.006687940466059104,0.9411764705882353,0.37872546715231925,0.3854134076183793,0.006687940466060027
Savannah Marie DeMelo,Racing Louisville FC,50,3,3.590038566386934,3.6765020770085095,4.03213,0.0864635106215764,1.52,-0.5900385663869341,-0.6765020770085095,-0.08646351062157542
Savannah McCaskill,Angel City,41,4,3.1744514265075847,3.0046189307288453,3.30577,-0.1698324957787379,0.7804878048780488,0.8255485734924153,0.9953810692711547,0.16983249577873938
